year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2014,55-59,1,1,1,241.800571903025,381066.3014979,0.000634536748467532
2014,55-59,1,1,2,230.037300837473,1888895.1504982,0.000121784049674117
2014,55-59,1,2,1,198.075613107593,171421.626732974,0.00115548788611217
2014,55-59,1,2,2,309.412232239965,2069171.92127092,0.000149534327746879
2014,55-59,2,1,1,148.000396841145,429950.24208507,0.000344226801974591
2014,55-59,2,1,2,128.430096432398,2054263.12252737,6.25188151527491e-05
2014,55-59,2,2,1,75.9865754668786,213124.791845208,0.000356535599678463
2014,55-59,2,2,2,114.582931259579,2371811.84354235,4.83102955959807e-05
2014,60-64,1,1,1,380.053602355952,393156.027802856,0.000966673726153641
2014,60-64,1,1,2,206.172869251921,1355762.08234961,0.000152071570621456
2014,60-64,1,2,1,274.49529940147,184038.074630748,0.00149151364440328
2014,60-64,1,2,2,333.675478630227,1616006.81521678,0.000206481479835508
2014,60-64,2,1,1,143.315474314529,447470.171261211,0.000320279391832061
2014,60-64,2,1,2,74.2634730538922,1506864.87670373,4.92834322453275e-05
2014,60-64,2,2,1,111.18045112782,243930.592591798,0.000455787238273441
2014,60-64,2,2,2,148.240601503759,1900707.35944326,7.79923331002312e-05
2014,65-69,1,1,1,399.463241103432,364536.595176457,0.0010958110828628
2014,65-69,1,1,2,185.420632163275,937540.407133748,0.000197773483417258
2014,65-69,1,2,1,311.537077619324,180206.828692647,0.00172877509625714
2014,65-69,1,2,2,371.000586210564,1179623.16899715,0.000314507713955778
2014,65-69,2,1,1,175.380786727321,429843.372239771,0.00040801091293666
2014,65-69,2,1,2,64.955846936045,1037079.32345973,6.26334413064475e-05
2014,65-69,2,2,1,154.318474642224,255938.948793222,0.000602950333936477
2014,65-69,2,2,2,135.34489169441,1434535.35550728,9.43475468727981e-05
2014,70-74,1,1,1,430.560356197807,278325.081454542,0.00154696929916512
2014,70-74,1,1,2,174.244367024332,608553.701932131,0.000286325375182361
2014,70-74,1,2,1,433.815752338557,158047.243041594,0.00274484859077477
2014,70-74,1,2,2,307.82734522227,814591.973571733,0.000377891453892606
2014,70-74,2,1,1,208.632558139535,342177.742610274,0.000609719839016994
2014,70-74,2,1,2,70.7860465116279,678414.111512972,0.000104340468911774
2014,70-74,2,2,1,185.087918321044,235904.225980379,0.000784589244011415
2014,70-74,2,2,2,120.493477027794,1059932.91989637,0.000113680285578425
2014,75-79,1,1,1,337.147526328193,215607.993363782,0.00156370606241553
2014,75-79,1,1,2,134.077973790748,369292.503134486,0.00036306714231326
