age,sex,race3,educ,year,pop
35,1,2,2,2000,575153.182226484
35,2,1,1,2000,169240.01264245
35,2,1,2,2000,390735.539970348
35,2,2,1,2000,107458.439610428
35,2,2,2,2000,649902.007776773
36,1,1,1,2000,197445.549254082
36,1,1,2,2000,362247.922856812
36,1,2,1,2000,110267.996895548
36,1,2,2,2000,557560.530993559
36,2,1,1,2000,176900.700182337
36,2,1,2,2000,381499.428056665
36,2,2,1,2000,112350.483275325
36,2,2,2,2000,629032.388485673
37,1,1,1,2000,194111.554310164
37,1,1,2,2000,349205.707728529
37,1,2,1,2000,108157.100510238
37,1,2,2,2000,552915.637451069
37,2,1,1,2000,175352.378965968
37,2,1,2,2000,370926.212987803
37,2,2,1,2000,114055.140616098
37,2,2,2,2000,617918.267430131
38,1,1,1,2000,191992.359459233
38,1,1,2,2000,335782.128098835
38,1,2,1,2000,109750.762468881
38,1,2,2,2000,539949.749973051
38,2,1,1,2000,172425.958835265
38,2,1,2,2000,361454.898210844
38,2,2,1,2000,108626.978984942
38,2,2,2,2000,608724.163968949
39,1,1,1,2000,181869.92553216
39,1,1,2,2000,327522.717684131
39,1,2,1,2000,106719.950700338
39,1,2,2,2000,531576.406083371
39,2,1,1,2000,169888.11639167
39,2,1,2,2000,344121.456535631
39,2,2,1,2000,111141.252082679
39,2,2,2,2000,595065.174990021
0,1,1,1,2001,710314.659786034
0,1,1,2,2001,0
0,1,2,1,2001,1006652.34021397
0,1,2,2,2001,0
0,2,1,1,2001,671471.306008985
0,2,1,2,2001,0
0,2,2,1,2001,971891.693991015
0,2,2,2,2001,0
1,1,1,1,2001,788899.658131195
1,1,1,2,2001,0
1,1,2,1,2001,951292.341868805
1,1,2,2,2001,0
1,2,1,1,2001,740507.61000942
1,2,1,2,2001,0
1,2,2,1,2001,930798.389990581
1,2,2,2,2001,0
2,1,1,1,2001,856573.844524207
2,1,1,2,2001,0
2,1,2,1,2001,922686.155475792
2,1,2,2,2001,0
2,2,1,1,2001,794185.050049193
2,2,1,2,2001,0
2,2,2,1,2001,916944.949950808
2,2,2,2,2001,0
3,1,1,1,2001,886963.060497676
3,1,1,2,2001,0
3,1,2,1,2001,914397.939502324
3,1,2,2,2001,0
3,2,1,1,2001,822637.38339415
3,2,1,2,2001,0
3,2,2,1,2001,913521.61660585
3,2,2,2,2001,0
4,1,1,1,2001,896141.001668109
4,1,1,2,2001,0
4,1,2,1,2001,901066.998331892
4,1,2,2,2001,0
4,2,1,1,2001,830961.74727885
4,2,1,2,2001,0
4,2,2,1,2001,907134.25272115
4,2,2,2,2001,0
5,1,1,1,2001,896795.550142451
5,1,1,2,2001,0
5,1,2,1,2001,880495.449857549
5,1,2,2,2001,0
5,2,1,1,2001,841574.703614536
5,2,1,2,2001,0
5,2,2,1,2001,884424.296385464
5,2,2,2,2001,0
6,1,1,1,2001,891800.529366124
6,1,1,2,2001,901.957576704117
6,1,2,1,2001,865681.879235539
6,1,2,2,2001,788.633821633275
6,2,1,1,2001,840836.689065392
6,2,1,2,2001,1065.39292963366
6,2,2,1,2001,871930.59819834
6,2,2,2,2001,482.31980663477
7,1,1,1,2001,887608.913904781
7,1,1,2,2001,2120.1486576763
7,1,2,1,2001,846069.056139118
7,1,2,2,2001,1416.88129842522
7,2,1,1,2001,837866.517153749
7,2,1,2,2001,2076.46911482001
7,2,2,1,2001,857112.179824002
7,2,2,2,2001,1307.83390742835
8,1,1,1,2001,883210.6992006
8,1,1,2,2001,1692.26479701103
8,1,2,1,2001,837134.308751467
8,1,2,2,2001,1128.72725092216
8,2,1,1,2001,833809.681985288
8,2,1,2,2001,1654.36260936627
8,2,2,1,2001,852145.506587128
8,2,2,2,2001,1217.44881821859
9,1,1,1,2001,870114.36522735
9,1,1,2,2001,7244.58321294546
9,1,2,1,2001,837837.941978437
9,1,2,2,2001,9036.10958126674
9,2,1,1,2001,824250.713300028
9,2,1,2,2001,8464.24400183413
9,2,2,1,2001,849082.426250244
9,2,2,2,2001,9800.61644789384
10,1,1,1,2001,833419.540107175
10,1,1,2,2001,60711.8704109646
10,1,2,1,2001,720434.48257377
10,1,2,2,2001,120261.106908091
10,2,1,1,2001,769805.998676167
10,2,1,2,2001,82983.4627356326
10,2,2,1,2001,704885.384277026
10,2,2,2,2001,144666.154311175
11,1,1,1,2001,600793.093634337
11,1,1,2,2001,301749.77631927
11,1,2,1,2001,334783.990147227
11,1,2,2,2001,514138.139899167
11,2,1,1,2001,494430.826286283
11,2,1,2,2001,370051.288240858
11,2,2,1,2001,280435.454884065
11,2,2,2,2001,572921.430588795
12,1,1,1,2001,453662.322721694
12,1,1,2,2001,469712.043240862
12,1,2,1,2001,205862.226955234
12,1,2,2,2001,646647.407082211
12,2,1,1,2001,341033.853086812
12,2,1,2,2001,545701.46476072
12,2,2,1,2001,155003.305501444
12,2,2,2,2001,697196.376651025
13,1,1,1,2001,360389.487963738
13,1,1,2,2001,575170.697704333
13,1,2,1,2001,144000.232091835
13,1,2,2,2001,718894.582240094
13,2,1,1,2001,252331.092542973
13,2,1,2,2001,636483.792178884
13,2,2,1,2001,109951.234427315
13,2,2,2,2001,761287.880850828
14,1,1,1,2001,295935.628629891
14,1,1,2,2001,654735.01287966
14,1,2,1,2001,115880.369306291
14,1,2,2,2001,751368.989184158
14,2,1,1,2001,194852.749406743
14,2,1,2,2001,710265.928685637
14,2,2,1,2001,82481.061549857
14,2,2,2,2001,793501.260357763
15,1,1,1,2001,251136.362461982
15,1,1,2,2001,701360.469379532
15,1,2,1,2001,102355.568307552
15,1,2,2,2001,779782.599850934
15,2,1,1,2001,164442.21326814
15,2,1,2,2001,742642.225643172
15,2,2,1,2001,75766.2469716472
15,2,2,2,2001,819613.314117041
16,1,1,1,2001,218065.490588145
16,1,1,2,2001,734512.905779764
16,1,2,1,2001,89236.8438595082
16,1,2,2,2001,800523.759772584
16,2,1,1,2001,140136.995494886
16,2,1,2,2001,758629.194230647
16,2,2,1,2001,65011.9337108772
16,2,2,2,2001,852056.87656359
17,1,1,1,2001,201301.107515678
17,1,1,2,2001,744600.142065369
17,1,2,1,2001,81345.0704375282
17,1,2,2,2001,813735.679981425
17,2,1,1,2001,124448.747192934
17,2,1,2,2001,755569.10979052
17,2,2,1,2001,61670.166787649
17,2,2,2,2001,878768.976228897
18,1,1,1,2001,191222.219677314
18,1,1,2,2001,743237.539346917
18,1,2,1,2001,80490.2448877257
18,1,2,2,2001,817043.996088044
18,2,1,1,2001,117617.105288604
18,2,1,2,2001,745437.22434086
18,2,2,1,2001,59704.5427782579
18,2,2,2,2001,893734.127592278
19,1,1,1,2001,187231.343416671
19,1,1,2,2001,721449.544298377
19,1,2,1,2001,80144.5594958048
19,1,2,2,2001,823658.552789148
19,2,1,1,2001,116042.851863974
19,2,1,2,2001,738577.697809755
19,2,2,1,2001,59782.2926025925
19,2,2,2,2001,885948.157723679
20,1,1,1,2001,192235.156365771
20,1,1,2,2001,698894.612390236
20,1,2,1,2001,82233.9223950428
20,1,2,2,2001,801664.308848951
20,2,1,1,2001,124931.963559746
20,2,1,2,2001,706712.152866659
20,2,2,1,2001,63508.7146160257
20,2,2,2,2001,871914.168957569
21,1,1,1,2001,181267.528081655
21,1,1,2,2001,670201.471249978
21,1,2,1,2001,83662.1260915096
21,1,2,2,2001,790119.874576857
21,2,1,1,2001,122172.002138179
21,2,1,2,2001,679266.251639751
21,2,2,1,2001,65459.7979253666
21,2,2,2,2001,858419.948296703
22,1,1,1,2001,193367.799258569
22,1,1,2,2001,645522.905072112
22,1,2,1,2001,87028.5552333025
22,1,2,2,2001,747679.740436017
22,2,1,1,2001,128698.74152379
22,2,1,2,2001,660664.59755451
22,2,2,1,2001,69612.2938367475
22,2,2,2,2001,824356.367084952
23,1,1,1,2001,189295.021625161
23,1,1,2,2001,618169.376919155
23,1,2,1,2001,89362.1022430176
23,1,2,2,2001,721175.499212667
23,2,1,1,2001,131898.396793731
23,2,1,2,2001,637064.245608459
23,2,2,1,2001,71575.0692206513
23,2,2,2,2001,795904.288377158
24,1,1,1,2001,185935.663663022
24,1,1,2,2001,586767.099092552
24,1,2,1,2001,88451.9095916715
24,1,2,2,2001,696730.327652755
24,2,1,1,2001,128395.210420289
24,2,1,2,2001,601545.066370326
24,2,2,1,2001,73633.0405729132
24,2,2,2,2001,780303.682636471
25,1,1,1,2001,186087.940374918
25,1,1,2,2001,556712.752142366
25,1,2,1,2001,91387.5620486094
25,1,2,2,2001,669007.745434107
25,2,1,1,2001,131464.392722418
25,2,1,2,2001,579048.381231567
25,2,2,1,2001,71842.9976779844
25,2,2,2,2001,753450.228368031
26,1,1,1,2001,177252.081826182
26,1,1,2,2001,535394.415840035
26,1,2,1,2001,88702.799900103
26,1,2,2,2001,654456.70243368
26,2,1,1,2001,128283.944482743
26,2,1,2,2001,559422.78780298
26,2,2,1,2001,75234.3760679815
26,2,2,2,2001,731833.891646297
27,1,1,1,2001,173517.633936609
27,1,1,2,2001,512667.888738896
27,1,2,1,2001,87977.9395572476
27,1,2,2,2001,632167.537767248
27,2,1,1,2001,129241.149264872
27,2,1,2,2001,535974.20470878
27,2,2,1,2001,75661.0822559539
27,2,2,2,2001,710691.563770394
28,1,1,1,2001,170656.238200883
28,1,1,2,2001,484495.904979075
28,1,2,1,2001,88778.8242193585
28,1,2,2,2001,622958.032600684
28,2,1,1,2001,129674.888548636
28,2,1,2,2001,511610.078977926
28,2,2,1,2001,75886.36239934
28,2,2,2,2001,700417.670074098
29,1,1,1,2001,163830.62687128
29,1,1,2,2001,474290.283577247
29,1,2,1,2001,88015.883292185
29,1,2,2,2001,617244.206259288
29,2,1,1,2001,130554.381764347
29,2,1,2,2001,497307.667309122
29,2,2,1,2001,76614.3110039166
29,2,2,2,2001,694032.639922614
30,1,1,1,2001,184586.524178435
30,1,1,2,2001,458480.805535834
30,1,2,1,2001,94826.6234916747
30,1,2,2,2001,593362.046794057
30,2,1,1,2001,145371.850847656
30,2,1,2,2001,487249.486522873
30,2,2,1,2001,86995.5499200505
30,2,2,2,2001,668779.112709421
