age,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
38,men,1337634,1353551,1384787,1425553,1464374,1502949,1539258,1571158,1599294,1626939,1654075,1673947,1683707,1686112,1687500,1687648,1684778,1678914,1671238,1661929,1648869,1644395,1654291,1671875,1687462,1705357,1707142,1684250,1645509,1616148,1554796,1530598,1516980,1512840,1495388,1458755,1448372,1439633,1419581,1424543,1430618,1427700,1447803,1478342,1448873,1438276,1464774,1457094,1448552,1439119,1428077
39,men,1326729,1332934,1348913,1380156,1420911,1459721,1498303,1534733,1566788,1594939,1622554,1649653,1669507,1679281,1681742,1683209,1683444,1680658,1674886,1667299,1658076,1645100,1640696,1650623,1668230,1683832,1701739,1703569,1680771,1642160,1612911,1551710,1527591,1514035,1509940,1492547,1456015,1445688,1436998,1417022,1422011,1428115,1425234,1445327,1475836,1446440,1435885,1462355,1454700,1446199,1436796
40,men,1314186,1321376,1327695,1343743,1374995,1415726,1454535,1493198,1529744,1561803,1589932,1617523,1644596,1664442,1674256,1676807,1678365,1678696,1676001,1670329,1662833,1653705,1640820,1636494,1646452,1664075,1679700,1697616,1699498,1676801,1638328,1609205,1548177,1524145,1510660,1506612,1489284,1452865,1442596,1433969,1414071,1419087,1425214,1422374,1442458,1472930,1443617,1433099,1459538,1451912,1443453
41,men,1302203,1308181,1315497,1321934,1338048,1369311,1410027,1448899,1487637,1524167,1556186,1584291,1611866,1638920,1658794,1668683,1671327,1672980,1673405,1670811,1665246,1657848,1648822,1636038,1631784,1641784,1659418,1675063,1692982,1694920,1672338,1634018,1605031,1544199,1520257,1506852,1502854,1485596,1449303,1439095,1430532,1410725,1415767,1421916,1419122,1439188,1469617,1440399,1429924,1456321,1448732
42,men,1286733,1296261,1302357,1309790,1316338,1332530,1363802,1404569,1443516,1482220,1518690,1550672,1578752,1606301,1633359,1653276,1663237,1665969,1667716,1668231,1665727,1660262,1652960,1644024,1631346,1627166,1637201,1654844,1670506,1688426,1690414,1667941,1629770,1600916,1540276,1516421,1503093,1499143,1481952,1445780,1435634,1427131,1407417,1412480,1418653,1415904,1435947,1466334,1437212,1426775,1453131
43,men,1264589,1280866,1290503,1296708,1304256,1310907,1327179,1358538,1399361,1438270,1476901,1513311,1545256,1573304,1600846,1627929,1647882,1657909,1660727,1662556,1663159,1660742,1655368,1648163,1639316,1626733,1622624,1632688,1650344,1666020,1683941,1685975,1663607,1625579,1596861,1536405,1512638,1499380,1495480,1478361,1442302,1432214,1423768,1404140,1409227,1415421,1412718,1432740,1463083,1434057,1423654
44,men,1237767,1258835,1275175,1284914,1291226,1298885,1305646,1322067,1353511,1394290,1433127,1471680,1508026,1539931,1567966,1595519,1622619,1642611,1652696,1655595,1657506,1658188,1655860,1650570,1643456,1634694,1622204,1618159,1628255,1645921,1661605,1679524,1681604,1659337,1621449,1592860,1532579,1508904,1495719,1491861,1474809,1438868,1428833,1420449,1400902,1406012,1412224,1409563,1429560,1459862,1430926
45,men,1211719,1231035,1252150,1268566,1278410,1284847,1292622,1299554,1316124,1347547,1388231,1426991,1465458,1501729,1533604,1561646,1589200,1616309,1636336,1646483,1649463,1651462,1652232,1649996,1644806,1637793,1629128,1616741,1612770,1622885,1640560,1656250,1674159,1676288,1654140,1616417,1587979,1527915,1504336,1491232,1487425,1470447,1434647,1424673,1416357,1396907,1402037,1408277,1405658,1425624,1455869
46,men,1185657,1204037,1223418,1244580,1261067,1271023,1277593,1285546,1292658,1309278,1340638,1381213,1419882,1458260,1494465,1526316,1554357,1581904,1609012,1629063,1639278,1642352,1644440,1645305,1643169,1638087,1631184,1622628,1610352,1606466,1616602,1634272,1649962,1667860,1670035,1648024,1610486,1582217,1522407,1498941,1485931,1482181,1465287,1429646,1419743,1411503,1392167,1397312,1403576,1401002,1420939
47,men,1156847,1178154,1196592,1216022,1237232,1253789,1263860,1270610,1278731,1285936,1302577,1333878,1374347,1412918,1451217,1487376,1519193,1547224,1574765,1601873,1621938,1632211,1635374,1637550,1638503,1636462,1631483,1624685,1616233,1604068,1600256,1610414,1628079,1643765,1661645,1663869,1641989,1604635,1576527,1516962,1493609,1480689,1476993,1460182,1424704,1414867,1406693,1387469,1392633,1398921,1396390
48,men,1124568,1149532,1170880,1189377,1208849,1230098,1246722,1256950,1263876,1272096,1279365,1296020,1327254,1367612,1406097,1444332,1480441,1512222,1540241,1567773,1594872,1614955,1625279,1628524,1630786,1631816,1629866,1624987,1618290,1609939,1597875,1594139,1604310,1621966,1637654,1655512,1657782,1636034,1598857,1570906,1511581,1488342,1475507,1471861,1455133,1419807,1410037,1401938,1382821,1388001,1394309
49,men,1089725,1117461,1142441,1163822,1182373,1201890,1223181,1239919,1250298,1257318,1265608,1272932,1289590,1320758,1361024,1399438,1437607,1473657,1505406,1533402,1560917,1588007,1608107,1618480,1621796,1624134,1625250,1623382,1618592,1611991,1603741,1591774,1588113,1598300,1615940,1631621,1649463,1651768,1630150,1593145,1565354,1506266,1483132,1470383,1466785,1450136,1414960,1405250,1397221,1378206,1383410
50,men,1054155,1081351,1109076,1134065,1155486,1174086,1193648,1214999,1231859,1242330,1249438,1257807,1265210,1281881,1312977,1353139,1391460,1429540,1465506,1497209,1525178,1552659,1579728,1599839,1610264,1613665,1616077,1617291,1615520,1610837,1604345,1596206,1584353,1580769,1590976,1608593,1624258,1642079,1644421,1622957,1586158,1558552,1499754,1476747,1464096,1460551,1444001,1409006,1399375,1391425,1372529
51,men,1017780,1044571,1071754,1099462,1124450,1145904,1164563,1184198,1205606,1222519,1233075,1240283,1248741,1256234,1272938,1303967,1343994,1382199,1420167,1456034,1487665,1515599,1543037,1570071,1590184,1600660,1604155,1606659,1607970,1606303,1601740,1595372,1587359,1575637,1572142,1582364,1599952,1615591,1633387,1635768,1614476,1577916,1550522,1492064,1469208,1456667,1453186,1436751,1401961,1392421,1384554
52,men,980577,1008524,1035297,1062463,1090145,1115136,1136615,1155353,1175051,1196471,1213411,1224048,1231355,1239893,1247475,1264209,1295172,1335066,1373147,1410997,1446764,1478317,1506206,1533601,1560598,1580714,1591230,1594809,1597401,1598802,1597237,1592787,1586537,1578645,1567050,1563633,1573866,1591430,1607043,1624798,1627224,1606103,1569783,1542592,1484465,1461758,1449320,1445898,1429573,1394992,1385540
53,men,942803,971669,999581,1026327,1053473,1081123,1106112,1127638,1146446,1166167,1187572,1204535,1215241,1222638,1231255,1238930,1255685,1286569,1326328,1364288,1402018,1437688,1469163,1497003,1524349,1551296,1571410,1581966,1585620,1588292,1589782,1588316,1583974,1577836,1570053,1558590,1555246,1565487,1583020,1598605,1616319,1618784,1597827,1561743,1534751,1476951,1454389,1442058,1438693,1422476,1388090
54,men,904687,934234,963056,990929,1017641,1044760,1072378,1097385,1118955,1137781,1157512,1178898,1195882,1206648,1214133,1222832,1230589,1247365,1278162,1317787,1355619,1393224,1428791,1460184,1487972,1515271,1542164,1562270,1572861,1576590,1579333,1580908,1579530,1575292,1569265,1561584,1550247,1546977,1557222,1574721,1590278,1607949,1610448,1589653,1553800,1526999,1469521,1447101,1434872,1431559,1415449
55,men,866129,894798,924260,953004,980816,1007473,1034538,1062121,1087116,1108681,1127502,1147222,1168574,1185568,1196396,1203972,1212749,1220590,1237372,1268052,1307499,1345162,1382601,1418028,1449308,1477009,1504234,1531048,1551130,1561751,1565557,1568377,1570042,1568758,1564634,1558729,1551165,1539970,1536781,1547027,1564472,1579983,1597590,1600129,1579518,1543945,1517377,1460288,1438041,1425932,1422681
56,men,827097,855028,883578,912922,941563,969284,995867,1022869,1050389,1075319,1096849,1115651,1135343,1156651,1173640,1184539,1192211,1201063,1208982,1225751,1256280,1295505,1332956,1370192,1405438,1436570,1464162,1491279,1517992,1538025,1548672,1552550,1555456,1557210,1556032,1552036,1546261,1538833,1527801,1524695,1534928,1552304,1567761,1585280,1587857,1567462,1532208,1505912,1449290,1427237,1415268
57,men,789260,816491,844308,872744,901963,930496,958122,984646,1011579,1039002,1063849,1085335,1104114,1123766,1145029,1162013,1172973,1180721,1189651,1197636,1214393,1244769,1283764,1321006,1358031,1393096,1424076,1451559,1478564,1505179,1525149,1535819,1539764,1542749,1544587,1543505,1539632,1533981,1526681,1515804,1512785,1523002,1540299,1555699,1573134,1575745,1555558,1520620,1494587,1438427,1416562
58,men,753402,779136,806253,833951,862271,891364,919778,947327,973788,1000621,1027933,1052696,1074125,1092880,1112492,1133701,1150674,1161694,1169504,1178494,1186544,1203274,1233504,1272262,1309300,1346114,1380991,1411820,1439186,1466074,1492590,1512497,1523184,1527190,1530242,1532159,1531167,1527414,1521890,1514709,1503981,1501044,1511243,1528460,1543798,1561146,1563790,1543806,1509174,1483400,1427694
59,men,718933,743734,769367,796366,823942,852145,881112,909423,936889,963248,989968,1017165,1041838,1063206,1081931,1101506,1122661,1139609,1150681,1158552,1167592,1175702,1192399,1222476,1261003,1297822,1334429,1369117,1399794,1427036,1453806,1480214,1500059,1510754,1514821,1517934,1519924,1519022,1515377,1509964,1502908,1492324,1489463,1499640,1516775,1532055,1549315,1551986,1532201,1497870,1472351
60,men,684784,707938,732605,758086,784923,812330,840362,869161,897323,924629,950842,977405,1004443,1028984,1050259,1068931,1088435,1109497,1126393,1137493,1145423,1154496,1162649,1179294,1209161,1247391,1283929,1320263,1354697,1385171,1412243,1438855,1465106,1484861,1495542,1499667,1502837,1504899,1504089,1500568,1495282,1488361,1477941,1475161,1485303,1502328,1517514,1534659,1537354,1517811,1483842
61,men,651585,672582,695570,720059,745357,771978,799176,826986,855562,883507,910596,936628,962988,989827,1014201,1035350,1053936,1073329,1094265,1111092,1122192,1130168,1139268,1147449,1164010,1193616,1231481,1267674,1303673,1337796,1368012,1394866,1421271,1447326,1466954,1477609,1481784,1485012,1487144,1486434,1483034,1477892,1471116,1460883,1458195,1468278,1485168,1500236,1517237,1519950,1500683
62,men,617610,639959,660831,683657,707953,733069,759472,786458,814051,842388,870114,896984,922825,948980,975612,999820,1020832,1039331,1058609,1079414,1096163,1107259,1115263,1124387,1132588,1149059,1178406,1215908,1251757,1287420,1321229,1351188,1377828,1404021,1429877,1449370,1459996,1464217,1467500,1469693,1469076,1465794,1460786,1454154,1444097,1441498,1451521,1468273,1483224,1500080,1502810
63,men,582021,606587,628763,649497,672163,696268,721191,747387,774162,801531,829622,857122,883774,909412,935371,961794,985831,1006705,1025103,1044259,1064924,1081590,1092680,1100705,1109841,1118062,1134434,1163517,1200655,1236161,1271497,1304990,1334687,1361112,1387090,1412746,1432109,1442698,1446955,1450290,1452538,1452012,1448834,1443960,1437467,1427574,1425062,1435022,1451633,1466465,1483175
