year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2006,50-54,2,2,2,22.1963759136652,471573.537431729,4.70687478236172e-05
2006,55-59,1,1,1,336.354756344314,1461048.09023043,0.000230214705863149
2006,55-59,1,1,2,4.67159383811547,79112.1515749024,5.90502690815135e-05
2006,55-59,1,2,1,418.577970881849,1565893.17885392,0.000267309403051495
2006,55-59,1,2,2,49.79366196364,312374.579340749,0.000159403694336226
2006,55-59,2,1,1,147.041394542726,1565690.88751534,9.39147029054196e-05
2006,55-59,2,1,2,34.5979751865238,82940.6040476186,0.000417141586847621
2006,55-59,2,2,1,195.611628939192,1824340.74491814,0.000107223187052137
2006,55-59,2,2,2,0,315630.763518903,0
2006,60-64,1,1,1,388.191502486396,1109901.73492164,0.000349753036933313
2006,60-64,1,1,2,19.6361460401679,45358.4862896931,0.000432910082465205
2006,60-64,1,2,1,494.254390317466,1213797.84815716,0.000407196627566826
2006,60-64,1,2,2,60.3912116786614,204238.930631507,0.00029568903191929
2006,60-64,2,1,1,159.129543251995,1210470.7771656,0.000131460871467388
2006,60-64,2,1,2,6.36518173007981,41890.6326528633,0.000151947615182287
2006,60-64,2,2,1,210.907403361772,1486247.74779165,0.000141905953213487
2006,60-64,2,2,2,10.8555281142088,186486.842389894,5.82106918380485e-05
2006,65-69,1,1,1,477.768366660821,871489.34528224,0.000548220548245592
2006,65-69,1,1,2,5.67084114730945,25544.9285347872,0.000221994793979826
2006,65-69,1,2,1,614.527619324471,987700.698706744,0.000622179998585715
2006,65-69,1,2,2,58.6018606056841,136768.027476231,0.000428476316336935
2006,65-69,2,1,1,211.87201042387,974136.181206487,0.000217497321741465
2006,65-69,2,1,2,7.1578381899956,21644.7112122021,0.000330696867231031
2006,65-69,2,2,1,267.942610528919,1279576.97605875,0.000209399368339851
2006,65-69,2,2,2,23.367088127522,113247.131522559,0.000206337130250997
2006,70-74,1,1,1,434.367783640832,610336.945651432,0.000711685220328941
2006,70-74,1,1,2,19.2067387324177,13849.0966370327,0.00138685859704803
