age,sex,race3,educ,year,pop
23,1,1,1,2000,540530.896653419
23,1,1,2,2000,20092.0405267411
23,1,2,0,2000,101719.34277745
23,1,2,1,2000,588991.289932469
23,1,2,2,2000,103668.612912116
23,2,0,0,2000,2874.32534100403
23,2,0,1,2000,6763.45911120817
23,2,0,2,2000,2961.20440138772
23,2,1,0,2000,145954.863548571
23,2,1,1,2000,555096.294980394
23,2,1,2,2000,29129.7833062557
23,2,2,0,2000,81344.2943864594
23,2,2,1,2000,630970.382415201
23,2,2,2,2000,141756.392509519
24,1,0,0,2000,2642.49793202398
24,1,0,1,2000,6516.03140520897
24,1,0,2,2000,2353.93000527349
24,1,1,0,2000,205621.142687654
24,1,1,1,2000,509588.619687749
24,1,1,2,2000,20799.8459266433
24,1,2,0,2000,100495.228671298
24,1,2,1,2000,561919.133464355
24,1,2,2,2000,104887.570219795
24,2,0,0,2000,2402.89429440535
24,2,0,1,2000,6164.13227680358
24,2,0,2,2000,2999.38021440167
24,2,1,0,2000,142800.513195932
24,2,1,1,2000,519412.871553451
24,2,1,2,2000,28276.6118816039
24,2,2,0,2000,84574.6048689042
24,2,2,1,2000,615251.242390385
24,2,2,2,2000,139268.749324115
25,1,0,0,2000,2785.0983718642
25,1,0,1,2000,6072.27787119758
25,1,0,2,2000,2515.47970117162
25,1,1,0,2000,203336.084508149
25,1,1,1,2000,480792.736949718
25,1,1,2,2000,20721.9943770435
25,1,2,0,2000,103714.839220166
25,1,2,1,2000,538499.120360585
25,1,2,2,2000,101222.368640106
25,2,0,0,2000,2412.02952130139
25,2,0,1,2000,6258.96016319322
25,2,0,2,2000,2738.60857641169
25,2,1,0,2000,145404.411450245
25,2,1,1,2000,498024.809706446
25,2,1,2,2000,28186.2009237796
25,2,2,0,2000,81875.503468366
25,2,2,1,2000,595006.712206333
25,2,2,2,2000,132590.763983925
26,1,0,0,2000,2479.03387576703
26,1,0,1,2000,5492.84705255723
26,1,0,2,2000,2596.40727239235
26,1,1,0,2000,194942.646305199
26,1,1,1,2000,460886.791121754
26,1,1,2,2000,20134.9555518201
26,1,2,0,2000,100434.861563827
26,1,2,1,2000,526082.429590345
26,1,2,2,2000,96964.0276663379
26,2,0,0,2000,2723.03952368715
26,2,0,1,2000,6242.37769152326
26,2,0,2,2000,2855.23973324872
26,2,1,0,2000,140806.568970398
26,2,1,1,2000,479470.151792711
26,2,1,2,2000,27335.6752056308
26,2,2,0,2000,85749.219724127
26,2,2,1,2000,576631.308531294
26,2,2,2,2000,127431.418827379
27,1,0,0,2000,2790.90398354932
27,1,0,1,2000,6478.3080656701
27,1,0,2,2000,2537.94395416237
27,1,1,0,2000,190283.249340635
27,1,1,1,2000,441511.868447964
27,1,1,2,2000,21592.8889937762
27,1,2,0,2000,99812.3462486585
